DOI,Link
"10.1142/S0218126621502662","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106906165&doi=10.1142%2fS0218126621502662&partnerID=40&md5=79deae78432adc482d2a7109119ddffe"
"10.1007/s11227-021-03849-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105925159&doi=10.1007%2fs11227-021-03849-7&partnerID=40&md5=07739cd5dbdd5c542a186b3475275e78"
"10.1109/MDAT.2021.3079318","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105859667&doi=10.1109%2fMDAT.2021.3079318&partnerID=40&md5=236febb97308fa8aa6d9e8a4ddf41f0b"
"10.1007/s10586-021-03298-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105550248&doi=10.1007%2fs10586-021-03298-0&partnerID=40&md5=52e1faa713f19478f422f3f092aeaed9"
"10.1109/ACCESS.2021.3058014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101480395&doi=10.1109%2fACCESS.2021.3058014&partnerID=40&md5=4d2950e901841719ae6fea8b2eb2fa71"
"10.1109/TNNLS.2021.3055240","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101471464&doi=10.1109%2fTNNLS.2021.3055240&partnerID=40&md5=b31d2ba813325ebcefd0962a05ab697d"
"10.1109/ACCESS.2021.3056882","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100793877&doi=10.1109%2fACCESS.2021.3056882&partnerID=40&md5=9085ba2707d6f086bf55c1540b7943dd"
"10.3233/JIFS-189221","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100544457&doi=10.3233%2fJIFS-189221&partnerID=40&md5=bfe94e07cdf7a7b1da26a88b49791750"
"10.1145/3408062","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099081379&doi=10.1145%2f3408062&partnerID=40&md5=3cbd29ceab4979561d4299d4af09f472"
"10.1587/transinf.2020PAP0003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097863878&doi=10.1587%2ftransinf.2020PAP0003&partnerID=40&md5=0b36367b58d457d48768b4020884cff8"
"10.3390/s20236886","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097271568&doi=10.3390%2fs20236886&partnerID=40&md5=0ee73c28f26329c4d4b1b0681b21b794"
"10.1016/j.parco.2020.102701","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094556483&doi=10.1016%2fj.parco.2020.102701&partnerID=40&md5=07ec9b90fa90bcdb53ac1b6045519b92"
"10.1016/j.compeleceng.2020.106859","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091736034&doi=10.1016%2fj.compeleceng.2020.106859&partnerID=40&md5=b28740e0715dd134c6d7122e467a5aa8"
"10.1007/s00500-020-05302-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090930825&doi=10.1007%2fs00500-020-05302-y&partnerID=40&md5=0e98ec958a2ec49a889ea9238ff128d6"
"10.1111/mice.12565","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085010123&doi=10.1111%2fmice.12565&partnerID=40&md5=ce318c22072fcc49695a9cc19b725f4c"
"10.1016/j.sysarc.2020.101805","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084937178&doi=10.1016%2fj.sysarc.2020.101805&partnerID=40&md5=b57434164b08116e671da90ce852941f"
"10.1109/TNNLS.2019.2963066","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082399171&doi=10.1109%2fTNNLS.2019.2963066&partnerID=40&md5=25ad260feac650cdb454f5cb5656aa00"
"10.1109/TCAD.2020.2968023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078147486&doi=10.1109%2fTCAD.2020.2968023&partnerID=40&md5=8a899702262790c211abcc742d779ba7"
"10.3390/s20216126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094573370&doi=10.3390%2fs20216126&partnerID=40&md5=211634e90839f8d0cb07e038b46b16df"
"10.1016/j.micpro.2020.103282","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091597415&doi=10.1016%2fj.micpro.2020.103282&partnerID=40&md5=2703a014612ce98b8131112a182702b5"
"10.1109/JIOT.2020.2990215","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092707587&doi=10.1109%2fJIOT.2020.2990215&partnerID=40&md5=47ce49234c2c24f91561914604876a3c"
"10.1016/j.sysarc.2020.101762","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082566267&doi=10.1016%2fj.sysarc.2020.101762&partnerID=40&md5=2d5f55da435acc2e4c8421e3d34450f9"
"10.1109/TC.2020.2973974","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079639044&doi=10.1109%2fTC.2020.2973974&partnerID=40&md5=93f1eb1f4d0225e8a7f6e898ac97b3ae"
"10.3390/a13090213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098177715&doi=10.3390%2fa13090213&partnerID=40&md5=50b04e9d90a72f1f393b10d0aa5d732d"
"10.1007/s11265-020-01546-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086704721&doi=10.1007%2fs11265-020-01546-x&partnerID=40&md5=c9e9f9e2fa7b0ab7a6a028d5d68218d8"
"10.1007/s10617-020-09235-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080958098&doi=10.1007%2fs10617-020-09235-5&partnerID=40&md5=84dfe21f21c8f6fba47c0a42d9fc9e6a"
"10.1007/s10586-019-02974-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071525758&doi=10.1007%2fs10586-019-02974-6&partnerID=40&md5=53920d8706f87ec4a76409e111253b90"
"10.2495/CMEM-V8-N3-270-280","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091999486&doi=10.2495%2fCMEM-V8-N3-270-280&partnerID=40&md5=7378924a3588bd2141c859f99175fcc0"
"10.1109/MWC.001.1900473","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090426499&doi=10.1109%2fMWC.001.1900473&partnerID=40&md5=5c1806de3632089d1f50ccdda4f5fa8a"
"10.1109/TC.2020.3000118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086709521&doi=10.1109%2fTC.2020.3000118&partnerID=40&md5=0b3b152edc0787cec589979a7b407338"
"10.1109/MCAS.2020.3005467","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089941646&doi=10.1109%2fMCAS.2020.3005467&partnerID=40&md5=d5e8d48f2b6b731d2d47ab8a4d567771"
"10.1109/JCN.2020.000017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089303742&doi=10.1109%2fJCN.2020.000017&partnerID=40&md5=98b753ede192876c8701cff0b11ad04c"
"10.1109/JSTSP.2020.2968810","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090113466&doi=10.1109%2fJSTSP.2020.2968810&partnerID=40&md5=071f0471bdfe97711b7300b01cd66d71"
"10.1109/JSTSP.2020.2992390","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089953123&doi=10.1109%2fJSTSP.2020.2992390&partnerID=40&md5=5ce691f52790f2c22a35cc607f97cfd6"
"10.1631/FITEE.1900418","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085182866&doi=10.1631%2fFITEE.1900418&partnerID=40&md5=d8474092a0a7dddcc82bfe3761ce725d"
"10.18201/ijisae.2020261587","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091510582&doi=10.18201%2fijisae.2020261587&partnerID=40&md5=3215770bfc50d75ba13db3a522e717d9"
"10.3390/s20071895","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082790799&doi=10.3390%2fs20071895&partnerID=40&md5=1738bd9030764d6506b3d15dd5f29404"
"10.24507/ijicic.16.02.609","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082078681&doi=10.24507%2fijicic.16.02.609&partnerID=40&md5=5c7c5b893ec72fd7e5c906f122e9194f"
"10.1016/j.micpro.2020.103051","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079838755&doi=10.1016%2fj.micpro.2020.103051&partnerID=40&md5=f77ac7e05da5b99bd8dde149e591d932"
"10.1109/MDAT.2019.2947271","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073539087&doi=10.1109%2fMDAT.2019.2947271&partnerID=40&md5=76818e5151985e6f6799694abbf443b6"
"10.3390/electronics9030478","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082200494&doi=10.3390%2felectronics9030478&partnerID=40&md5=6ef35911121510f92c2db27b96b2db76"
"10.3390/electronics9030404","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080884572&doi=10.3390%2felectronics9030404&partnerID=40&md5=877910922785862df3224acb82134de4"
"10.1016/j.micpro.2020.102989","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077516447&doi=10.1016%2fj.micpro.2020.102989&partnerID=40&md5=4685c123e3bd9a991ababa81b72408c8"
"10.1145/3371154","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079572857&doi=10.1145%2f3371154&partnerID=40&md5=6ba4311f3e3e98eb6624a6427b72952d"
"10.1109/TPDS.2019.2937517","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078311506&doi=10.1109%2fTPDS.2019.2937517&partnerID=40&md5=e67c3c0511f051c7e5c375bcefa22b6b"
"10.1109/ACCESS.2020.3031055","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102880317&doi=10.1109%2fACCESS.2020.3031055&partnerID=40&md5=b63c84925a56860d4236728fa281f7bd"
"10.1155/2020/2305459","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099305451&doi=10.1155%2f2020%2f2305459&partnerID=40&md5=15915b0a7585caefd10bfb5f404ef859"
"10.1109/ACCESS.2020.3038908","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097127480&doi=10.1109%2fACCESS.2020.3038908&partnerID=40&md5=37b131487034bc5aa132735ec6172b13"
"10.1109/ACCESS.2020.3039278","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096863327&doi=10.1109%2fACCESS.2020.3039278&partnerID=40&md5=d597d16a75e922f627114cf7aca59749"
"10.1016/j.micpro.2020.103405","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096003992&doi=10.1016%2fj.micpro.2020.103405&partnerID=40&md5=713b87cce7210c3a88f3be63f41a3de0"
"10.1177/1729881420968702","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095118891&doi=10.1177%2f1729881420968702&partnerID=40&md5=8e537dad6065b52ce384f135f801cb86"
"10.1109/ACCESS.2020.3018226","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090598060&doi=10.1109%2fACCESS.2020.3018226&partnerID=40&md5=88d5b6bfea9e02ae02552b443d38c844"
"10.3844/JCSSP.2020.280.294","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086875982&doi=10.3844%2fJCSSP.2020.280.294&partnerID=40&md5=e02bf5629c6c2869ee2a8e0d14d6aaf8"
"10.1109/TETCI.2020.2996943","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086746132&doi=10.1109%2fTETCI.2020.2996943&partnerID=40&md5=92fbedb28a111eb7a906fba0aaebae85"
